tweet_id,tweet_time,tweet_author,tweet_author_id,tweet_language,tweet_lon,tweet_lat,tweet_text,tweet_url,label
591903085670215681',Sat Apr 25 09:54:27 +0000 2015,Faali19,2387302745,en,73.547794,32.392816,"Dua's for all those affected by the earthquakes in India,Nepal &amp; Bhutan. Stay safe &amp; help others in any form. #Equake http://t.co/M6YG0k4FKh",https://twitter.com/Faali19/status/591903085670215681,Sympathy and emotional support
591906453306249216',Sat Apr 25 10:07:50 +0000 2015,jonikanerva,13137242,en,86.822297,27.952658,Felt the Kathmandu earthquake here in Dengboche. Really strong. One wall and the ceiling collapsed on our guesthouse. Nobody got injured.,https://twitter.com/jonikanerva/status/591906453306249216,Infrastructure and utilities
591907531829616640',Sat Apr 25 10:12:07 +0000 2015,ranjalrajesh,75552756,en,74.839548,12.875823,#NepalEarthquake Tribhuvan Int. Arprt #Kathmandu closed 4 operations flights diverted  but run way n safe condition http://t.co/tAQ2n3OB2Q,https://twitter.com/ranjalrajesh/status/591907531829616640,Infrastructure and utilities
591907839355957248',Sat Apr 25 10:13:20 +0000 2015,mkaswala,282516228,en,72.638678,23.025132,Gujarat tourist stranded in Nepal/their relative  can contact 4 help 2 control room of Guj. govt. Gnagar 079-23251900/902/907/908/914/918,https://twitter.com/mkaswala/status/591907839355957248,"Missing, trapped, or found people"
591907977294143488',Sat Apr 25 10:13:53 +0000 2015,FarrukhFL,2686906843,en,67.023564,24.90886,Pray for #Nepal where a powerful earthquake has struck. May the Almighty grant them ease to face this calamity with utmost strength. Aameen.,https://twitter.com/FarrukhFL/status/591907977294143488,Sympathy and emotional support
591909854224089090',Sat Apr 25 10:21:21 +0000 2015,GibbsBKK,1341550118,en,100.548608,13.798321,"#Nepalquake good news, my brother in law is safe �_�A",https://twitter.com/GibbsBKK/status/591909854224089090,Personal updates
591910057438105600',Sat Apr 25 10:22:09 +0000 2015,Kikikirah,248649550,en,114.965699,4.945219,Prayers and thoughts for Nepal. #NepalQuake,https://twitter.com/Kikikirah/status/591910057438105600,Sympathy and emotional support
591914090479554560',Sat Apr 25 10:38:11 +0000 2015,MishraJi_1986,1117076269,en,77.29185,28.624915,"Nepal left severely damaged with more than 100 dead http://t.co/QZw5rtC4Iw http://t.co/nwPjxRW7Qe""",https://twitter.com/MishraJi_1986/status/591914090479554560,Injured or dead people
591915034634166272',Sat Apr 25 10:41:56 +0000 2015,drsamirbhatta,2219969635,en,90.386864,23.745398,Help Nepal.,https://twitter.com/drsamirbhatta/status/591915034634166272,Sympathy and emotional support
591915523564294144',Sat Apr 25 10:43:52 +0000 2015,arloryn,25989414,en,-71.596705,43.274316,My heart breaks. https://t.co/0oo3IMizzb,https://twitter.com/arloryn/status/591915523564294144,Sympathy and emotional support
